Country,Year,Export (US$ Thousand),Import (US$ Thousand)
Aruba,2021,1525860.76,166563.23
Afghanistan,2021,5916036,1964683.49
Angola,2021,12653996.54,33551533.93
Anguila,2021,236304.03,31055.78
Albania,2021,12076545.76,3659914.42
Andorra,2021,3080441.42,112690.53
United Arab Emirates,2021,269772885.5,243714415.9
Argentina,2021,65386155.68,79164554.82
Armenia,2021,5013378.9,3088285.4
American Samoa,2021,154593.45,34522.51
Antarctica,2021,103139.22,8148.25
Fr. So. Ant. Tr,2021,60342.62,11656.91
Antigua and Barbuda,2021,1671451.25,249075.42
Australia,2021,279420552.8,374899439.4
Austria,2021,198504368.7,192165929.2
Azerbaijan,2021,12656531.81,22114982.58
Br. Antr. Terr,2021,2.4,2.58
Burundi,2021,743517.64,125702.04
Belgium,2021,464825537.1,431548548
Benin,2021,5297109.63,1649829.65
Bonaire,2021,780388.62,75048.82
Burkina Faso,2021,3767305.57,4412474.77
Bangladesh,2021,80568124.28,53147978.24
Bulgaria,2021,45462924.71,42712622.03
Bahrain,2021,18033386.04,16405097.54
"Bahamas, The",2021,8844311.53,1299840.74
Bosnia and Herzegovina,2021,19007894.83,8872835.61
Saint Barthélemy,2021,90588.95,3748.56
Belarus,2021,46327623.82,33571732.36
Belize,2021,1437323.04,371241.3
Bermuda,2021,2420565.78,226357.76
Bolivia,2021,7431946.42,10571616.44
Brazil,2021,259319343.5,313645918.4
Barbados,2021,2033698.44,280739.28
Brunei,2021,5952745.83,10458199.96
Bhutan,2021,1143520.99,369856.12
Bunkers,2021,44275867.58,703121.35
Bouvet Island,2021,1417.45,186.14
Botswana,2021,7327565.19,5915412.01
Central African Republic,2021,406990,130266.7
Canada,2021,529223309.5,515729589.9
Cocos (Keeling) Islands,2021,12111.82,8613.02
Switzerland,2021,506450948,388342418.5
Chile,2021,98636407.29,100664759.2
China,2021,2419607092,3383435785
Cote d'Ivoire,2021,18188528.34,13201368.29
Cameroon,2021,9951558.77,5446285.72
"Congo, Rep.",2021,3733599.92,10523734.55
Cook Islands,2021,205170.48,32985.2
Colombia,2021,66615595.42,45804724.7
Comoros,2021,449904.14,63256.72
Cape Verde,2021,1478706.54,127461.35
Costa Rica,2021,18612406.36,21934564.66
Cuba,2021,5603283.72,1729506.27
Curaçao,2021,1440137.13,334304.73
Christmas Island,2021,36059.78,14398.98
Cayman Islands,2021,10903184.58,2466768.32
Cyprus,2021,15469975.31,4005555.31
Czech Republic,2021,187704391.6,194826922
Germany,2021,1353626273,1538830199
Djibouti,2021,8575241,385980.41
Dominica,2021,714511.27,33776.53
Denmark,2021,115774658.8,112597864.1
Dominican Republic,2021,25719477.58,11617077.67
Algeria,2021,51503438.6,38739387.28
Ecuador,2021,25064370.93,29349485.64
"Egypt, Arab Rep.",2021,121503620,41077918.43
Eritrea,2021,364390.13,669873.95
Western Sahara,2021,37809.57,6650.15
Spain,2021,381128434.5,361348321.3
Estonia,2021,25773935.95,18604298.22
Ethiopia(excludes Eritrea),2021,9895243.06,3721390.94
Finland,2021,81407267.8,82913195.8
Fiji,2021,2119389.86,715307.46
Falkland Island,2021,201719.43,338604.24
France,2021,683817002.8,590012728.7
Free Zones,2021,2812921.58,4367550.89
Faeroe Islands,2021,2362807.08,1595342.8
"Micronesia, Fed. Sts.",2021,135308.71,200025.42
Gabon,2021,3039269.67,6772742.68
United Kingdom,2021,1010705115,411203957.2
Georgia,2021,12432700.47,3792121.32
Ghana,2021,24059892.82,14913179.99
Gibraltar,2021,15420639.54,143643.72
Guinea,2021,6298034.46,10107445.13
"Gambia, The",2021,1879234.32,134992.71
Guinea-Bissau,2021,594585.14,180044.75
Equatorial Guinea,2021,1211491.76,5141982.3
Greece,2021,72209036.25,40665213.26
Grenada,2021,361180.03,36735.19
Greenland,2021,1836980.4,1431519.64
Guatemala,2021,23291790.26,13938931.81
Guam,2021,876775.54,23730.21
Guyana,2021,3290866.83,4200046.32
"Hong Kong, China",2021,750206748.8,93455326.22
